PERMNO,date,TICKER,sprtrn
10107,20010202,MSFT,-0.017474
10107,20010205,MSFT,0.003587
10107,20010206,MSFT,-0.001514
10107,20010207,MSFT,-0.008408
10107,20010208,MSFT,-0.006235
10107,20010209,MSFT,-0.013336
10107,20010212,MSFT,0.011827
10107,20010213,MSFT,-0.008652
10107,20010214,MSFT,-0.002184
10107,20010215,MSFT,0.008124
10107,20010216,MSFT,-0.018905
10107,20010220,MSFT,-0.017357
10107,20010221,MSFT,-0.018508
10107,20010222,MSFT,-0.001952
10107,20010223,MSFT,-0.005555
10107,20010226,MSFT,0.017490
10107,20010227,MSFT,-0.007660
10107,20010228,MSFT,-0.014309
10107,20010301,MSFT,0.001040
10107,20010302,MSFT,-0.005680
10107,20010305,MSFT,0.005858
10107,20010306,MSFT,0.009981
10107,20010307,MSFT,0.006452
10107,20010308,MSFT,0.002259
10107,20010309,MSFT,-0.024764
10107,20010312,MSFT,-0.043181
10107,20010313,MSFT,0.014829
10107,20010314,MSFT,-0.025842
10107,20010315,MSFT,0.005871
10107,20010316,MSFT,-0.019624
10107,20010319,MSFT,0.017627
10107,20010320,MSFT,-0.024077
10107,20010321,MSFT,-0.017924
10107,20010322,MSFT,-0.004064
10107,20010323,MSFT,0.019909
10107,20010326,MSFT,0.011282
10107,20010327,MSFT,0.025575
10107,20010328,MSFT,-0.024430
10107,20010329,MSFT,-0.004630
10107,20010330,MSFT,0.010784
10107,20010402,MSFT,-0.012462
10107,20010403,MSFT,-0.034393
10107,20010404,MSFT,-0.002901
10107,20010405,MSFT,0.043680
10107,20010406,MSFT,-0.019984
10107,20010409,MSFT,0.008117
10107,20010410,MSFT,0.027066
10107,20010411,MSFT,-0.002131
10107,20010412,MSFT,0.015104
10107,20010416,MSFT,-0.003228
10107,20010417,MSFT,0.010282
10107,20010418,MSFT,0.038890
10107,20010419,MSFT,0.012551
10107,20010420,MSFT,-0.008551
10107,20010423,MSFT,-0.014980
10107,20010424,MSFT,-0.012161
10107,20010425,MSFT,0.015941
10107,20010426,MSFT,0.004696
10107,20010427,MSFT,0.015010
10107,20010430,MSFT,-0.002865
10107,20010501,MSFT,0.013590
10107,20010502,MSFT,0.000782
10107,20010503,MSFT,-0.014873
10107,20010504,MSFT,0.014440
10107,20010507,MSFT,-0.002447
10107,20010508,MSFT,-0.001828
10107,20010509,MSFT,-0.004488
10107,20010510,MSFT,-0.000287
10107,20010511,MSFT,-0.007577
10107,20010514,MSFT,0.002609
10107,20010515,MSFT,0.000416
10107,20010516,MSFT,0.028453
10107,20010517,MSFT,0.002724
10107,20010518,MSFT,0.002693
10107,20010521,MSFT,0.016154
10107,20010522,MSFT,-0.002628
